Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Sample_Well,Sentrix_ID,Sentrix_Position
UB01,,panNET,,,200069280190,R01C01
UB02,,panNET,,,200069280190,R02C01
UB04,,panNET,,,200069280190,R03C01
UB06,,panNET,,,200069280190,R04C01
UB07,,panNET,,,200071610011,R01C01
UB08,,panNET,,,200071610011,R02C01
UB09,,panNET,,,200069280190,R05C01
UB10,,panNET,,,200069280190,R06C01
UB11,,panNET,,,200069280233,R03C01
UB12,,panNET,,,200069280190,R01C02
UB13,,panNET,,,200069280190,R02C02
UB14,,panNET,,,200069280190,R03C02
UB15,,panNET,,,200069280190,R04C02
UB17,,panNET,,,200069280190,R05C02
UB18,,panNET,,,200069280190,R06C02
UB19,,panNET,,,200071610011,R04C01
UB20,,panNET,,,200069280233,R04C01
UB21,,panNET,,,200069280233,R05C01
UB22,,panNET,,,200071610011,R05C01
UB27,,panNET,,,200071610011,R02C02
UB28,,panNET,,,200071610011,R03C02
UB31,,panNET,,,200069280233,R02C02
UB32,,panNET,,,200069280233,R03C02
UB33,,panNET,,,200069280233,R04C02
UB37,,panNET,,,3998426105,R01C01
UB38,,panNET,,,3998426105,R02C01
UB47,,panNET,,,3998426105,R05C02
UCL06,,panNET,,,7990895052,R02C01
UCL10,,panNET,,,7990895053,R06C01
UCL22,,panNET,,,7990895053,R02C01
UCL24,,panNET,,,7990895052,R01C02
UCL27,,panNET,,,9305651119,R01C02
UCL32,,panNET,,,7990895052,R06C01
UCL34,,panNET,,,9305651134,R01C01
UCL37,,panNET,,,9305651096,R04C01
UCL43,,panNET,,,9305651119,R06C02
UCL45,,panNET,,,9305651134,R03C02
UCL46,,panNET,,,9305651091,R05C02
UCL52,,panNET,,,7990895052,R03C02
UCL56,,panNET,,,9305651091,R01C01
UCL57,,panNET,,,9305651134,R05C01
UCL62,,panNET,,,9305651091,R05C01
UCL69,,panNET,,,9305651119,R02C01
UCL70,,panNET,,,9305651091,R02C01
UCL71,,panNET,,,7990895053,R04C01
UCL72,,panNET,,,9305651096,R06C02
