arrayId,array
203168670112_R01C01,FFPE
203175700032_R03C01,FFPE
203175700032_R05C01,FFPE
203175700032_R06C01,FFPE
203175700063_R01C01,FFPE
203175700063_R02C01,FFPE
203175700063_R03C01,FFPE
203175700063_R04C01,FFPE
203175700063_R05C01,FFPE
203175700063_R07C01,FFPE
203175700063_R08C01,FFPE
203197470021_R01C01,FFPE
203197470021_R02C01,FFPE
203197470021_R03C01,FFPE
203197470021_R05C01,FFPE
203197470021_R06C01,FFPE
203197470021_R07C01,FFPE
203197470021_R08C01,FFPE
203168670117_R02C01,FFPE
203168670117_R03C01,FFPE
203168670117_R04C01,FFPE
203168670117_R05C01,FFPE
203584330069_R02C01,FFPE
203584330069_R03C01,FFPE
203584330069_R04C01,FFPE
203584330069_R05C01,FFPE
203584330069_R06C01,FFPE
203584330069_R07C01,FFPE
203584330069_R08C01,FFPE
9373550141_R01C01,FF
9373550141_R02C01,FF
9934398017_R04C02,FF
9373550141_R06C02,FF
9373550141_R02C02,FF
9933448113_R06C02,FF
9934398017_R04C01,FF
9373550141_R04C01,FF
9933448113_R03C02,FF
9933448113_R04C02,FF
9373550141_R04C02,FF
9373550165_R01C01,FF
9933448113_R06C01,FF
9933448070_R05C02,FF
9933448113_R01C02,FF
9933448113_R05C02,FF
9373550141_R05C02,FF
9934398010_R06C02,FF
9933448070_R04C02,FF
9373550165_R02C01,FF
9933448113_R03C01,FF
9373550165_R03C01,FF
9934398017_R01C02,FF
9934398010_R03C01,FF
9933448070_R02C01,FF
9934398010_R04C01,FF
9934398010_R05C01,FF
9934398010_R01C02,FF
9934398010_R05C02,FF
9933448070_R02C02,FF
9933448070_R03C02,FF
9934398010_R01C01,FF
200069280190_R01C01,FFPE
200069280190_R02C01,FFPE
200069280190_R03C01,FFPE
200069280190_R04C01,FFPE
200071610011_R01C01,FFPE
200071610011_R02C01,FFPE
200069280190_R05C01,FFPE
200069280190_R06C01,FFPE
200069280233_R03C01,FFPE
200069280190_R01C02,FFPE
200069280190_R02C02,FFPE
200069280190_R03C02,FFPE
200069280190_R04C02,FFPE
200069280190_R05C02,FFPE
200069280190_R06C02,FFPE
200071610011_R04C01,FFPE
200069280233_R04C01,FFPE
200069280233_R05C01,FFPE
200071610011_R05C01,FFPE
200071610011_R02C02,FFPE
200071610011_R03C02,FFPE
200069280233_R02C02,FFPE
200069280233_R03C02,FFPE
200069280233_R04C02,FFPE
3998426105_R01C01,FFPE
3998426105_R02C01,FFPE
3998426105_R05C02,FFPE
7990895052_R02C01,FFPE
7990895053_R06C01,FFPE
7990895053_R02C01,FFPE
7990895052_R01C02,FFPE
9305651119_R01C02,FFPE
7990895052_R06C01,FFPE
9305651134_R01C01,FFPE
9305651096_R04C01,FFPE
9305651119_R06C02,FFPE
9305651134_R03C02,FFPE
9305651091_R05C02,FFPE
7990895052_R03C02,FFPE
9305651091_R01C01,FFPE
9305651134_R05C01,FFPE
9305651091_R05C01,FFPE
9305651119_R02C01,FFPE
9305651091_R02C01,FFPE
7990895053_R04C01,FFPE
9305651096_R06C02,FFPE
200071610011_R06C02,FFPE
3998426105_R03C01,FFPE
3998426105_R05C01,FFPE
3998426105_R06C01,FFPE
7990895027_R04C01,FFPE
9305651096_R05C01,FFPE
9305651096_R01C01,FFPE
9305651091_R06C02,FFPE
7990895027_R01C01,FFPE
9305651134_R06C01,FFPE
9305651091_R04C01,FFPE
9305651134_R02C01,FFPE
9305651091_R06C01,FFPE
9305651119_R01C01,FFPE
3999720012_R04C01,FF
3999720012_R04C02,FF
3999720011_R05C02,FF
3999720011_R06C02,FF
3999720043_R01C01,FF
3999720043_R02C01,FF
3999720043_R03C01,FF
3999720010_R01C01,FF
3999720010_R02C01,FF
3999720010_R03C01,FF
3999720010_R04C01,FF
3999720010_R05C01,FF
3999720010_R01C02,FF
3999720010_R06C01,FF
3999720010_R02C02,FF
3999720010_R03C02,FF
3999720010_R05C02,FF
3999720010_R06C02,FF
3999720031_R01C01,FF
3999720031_R02C01,FF
3999720043_R04C01,FF
3999720043_R06C01,FF
3999720012_R01C01,FF
3999720012_R02C01,FF
3999720012_R05C01,FF
3999720043_R02C02,FF
3999720001_R01C01,FF
3999720012_R01C02,FF
3999720012_R02C02,FF
3999720043_R06C02,FF
3999720012_R03C02,FF
3999423004_R01C01,FF
3999720012_R06C02,FF
3999720050_R02C01,FF
3999720044_R02C01,FF
3999720031_R05C01,FF
3999720044_R03C01,FF
3999720010_R04C02,FF
3999720012_R05C02,FF
3999720031_R03C01,FF
3999720044_R04C01,FF
3999720031_R01C02,FF
3999720044_R06C01,FF
3999720082_R03C02,FF
3999720082_R04C02,FF
3999720082_R05C02,FF
3999720001_R02C01,FF
3999720031_R03C02,FF
3999720001_R03C01,FF
3999720001_R04C01,FF
3999720001_R05C01,FF
3999720001_R06C01,FF
3999720001_R01C02,FF
3999720001_R04C02,FF
3999720001_R05C02,FF
3999720001_R06C02,FF
3999720031_R05C02,FF
3999720011_R06C01,FF
3999720011_R01C02,FF
3999720044_R02C02,FF
3999720033_R01C01,FF
3999720048_R01C01,FF
3999720033_R02C01,FF
3999720048_R03C01,FF
3999720048_R05C01,FF
3999720048_R01C02,FF
3999720048_R03C02,FF
3999720048_R05C02,FF
3999720070_R01C01,FF
3999720070_R03C01,FF
3999720033_R03C01,FF
3999720044_R04C02,FF
3999720011_R01C01,FF
3999720061_R01C01,FF
3999720033_R04C01,FF
3999720061_R06C02,FF
3999720011_R03C02,FF
3999720061_R04C01,FF
3999720061_R06C01,FF
3999720061_R02C02,FF
3999720061_R04C02,FF
3999720082_R06C02,FF
200325530168_R02C01,FFPE
200360420003_R05C02,FFPE
200360420003_R02C01,FFPE
200360420007_R04C02,FFPE
200360420007_R03C01,FFPE
200360420008_R01C02,FFPE
200325530168_R05C01,FFPE
200325530168_R01C01,FFPE
200360420003_R05C01,FFPE
200360420003_R01C01,FFPE
200360420007_R06C01,FFPE
200360420008_R02C01,FFPE
200325530168_R04C02,FFPE
200360420003_R03C02,FFPE
9769100027_R01C01,FFPE
9769100027_R04C02,FFPE
9769100027_R03C02,FFPE
9769100029_R03C02,FFPE
9769100029_R05C02,FFPE
9769100029_R01C02,FFPE
9769100029_R06C01,FFPE
9769100029_R06C02,FFPE
9769100039_R05C02,FFPE
9769100039_R03C02,FFPE
9769100039_R01C02,FFPE
9769100039_R05C01,FFPE
200325530168_R03C01,FFPE
200325530168_R01C02,FFPE
200360420003_R03C01,FFPE
200360420003_R01C02,FFPE
200360420007_R06C02,FFPE
200360420007_R01C01,FFPE
200360420007_R05C01,FFPE
200360420007_R02C02,FFPE
200360420007_R05C02,FFPE
200360420008_R04C01,FFPE
9721366130_R04C01,FFPE
7990895122_R02C01,FFPE
7990895122_R05C01,FFPE
7990895122_R01C01,FFPE
7990895122_R01C02,FFPE
7990895122_R04C01,FFPE
7990895088_R06C02,FFPE
9855358054_R02C02,FFPE
9855358054_R05C01,FFPE
9855358054_R03C01,FFPE
9769100027_R02C02,FFPE
9769100027_R05C01,FFPE
9769100029_R05C01,FFPE
9769100029_R02C02,FFPE
9769100039_R03C01,FFPE
9769100039_R04C01,FFPE
9769100027_R06C02,FFPE
9769100027_R04C01,FFPE
9769100027_R05C02,FFPE
9769100027_R02C01,FFPE
9769100027_R01C02,FFPE
9769100027_R06C01,FFPE
9769100027_R03C01,FFPE
9769100029_R03C01,FFPE
9769100029_R04C02,FFPE
9769100029_R01C01,FFPE
9769100029_R02C01,FFPE
9769100029_R04C01,FFPE
9769100039_R06C01,FFPE
9769100039_R06C02,FFPE
9769100039_R01C01,FFPE
9769100039_R04C02,FFPE
9769100039_R02C02,FFPE
9769100039_R02C01,FFPE
200325530168_R02C02,FFPE
200325530168_R06C02,FFPE
200325530168_R06C01,FFPE
200325530168_R05C02,FFPE
200325530168_R03C02,FFPE
200325530168_R04C01,FFPE
200360420003_R04C01,FFPE
200360420003_R02C02,FFPE
200360420003_R04C02,FFPE
200360420003_R06C02,FFPE
200360420003_R06C01,FFPE
200360420007_R02C01,FFPE
200360420007_R04C01,FFPE
200360420007_R03C02,FFPE
200360420007_R01C02,FFPE
200360420008_R03C01,FFPE
200360420008_R06C01,FFPE
200360420008_R05C01,FFPE
200360420008_R01C01,FFPE
9855358054_R01C01,FFPE
9855358054_R02C01,FFPE
9855358054_R04C01,FFPE
9855358054_R05C02,FFPE
9855358054_R06C01,FFPE
9855358054_R01C02,FFPE
9855358054_R03C02,FFPE
9855358054_R04C02,FFPE
9855358054_R06C02,FFPE
9855358055_R01C01,FFPE
9855358055_R02C01,FFPE
9855358055_R03C01,FFPE
9855358055_R04C01,FFPE
9855358055_R05C01,FFPE
9855358055_R06C01,FFPE
9855358055_R01C02,FFPE
9855358055_R02C02,FFPE
9855358055_R03C02,FFPE
9855358055_R04C02,FFPE
9855358055_R05C02,FFPE
9855358055_R06C02,FFPE
202226320010_R01C01,FFPE
202226320010_R02C01,FFPE
202226320010_R03C01,FFPE
202226320010_R04C01,FFPE
202226320010_R05C01,FFPE
202226320010_R06C01,FFPE
202226320010_R07C01,FFPE
202226320010_R08C01,FFPE
202226320016_R01C01,FFPE
202226320016_R02C01,FFPE
202226320016_R03C01,FFPE
202226320016_R04C01,FFPE
202226320016_R05C01,FFPE
201533570010_R06C01,FFPE
201533570010_R07C01,FFPE
201533570010_R08C01,FFPE
201533570046_R01C01,FFPE
202081130239_R04C01,FFPE
201533570026_R03C01,FFPE
202081130239_R05C01,FFPE
201533570026_R02C01,FFPE
201533570026_R01C01,FFPE
205555390010_R06C01,FFPE
205555390010_R07C01,FFPE
205555390025_R01C01,FFPE
204379160003_R03C01,FFPE
205828590077_R06C01,FFPE
205832320013_R06C01,FFPE
205832330137_R01C01,FFPE
205832320013_R07C01,FFPE
205832320013_R08C01,FFPE
205828590065_R01C01,FFPE
205828590065_R02C01,FFPE
205832320076_R01C01,FFPE
205828590067_R04C01,FFPE
206601450125_R05C01,FFPE
206601450049_R04C01,FFPE
206601450049_R05C01,FFPE
206601450049_R06C01,FFPE
206601450049_R07C01,FFPE
206601450049_R08C01,FFPE
206601450016_R01C01,FFPE
201364910013_R05C01,Unknown
201364910013_R06C01,Unknown
201364910146_R02C01,Unknown
201364910146_R03C01,Unknown
201364910146_R05C01,Unknown
201364910146_R07C01,Unknown
201414140123_R01C01,Unknown
201414140123_R02C01,Unknown
201414140123_R05C01,Unknown
201325940106_R04C01,Unknown
201325940106_R07C01,Unknown
201325940106_R08C01,Unknown
201325940151_R04C01,Unknown
201325940151_R06C01,Unknown
201325940151_R07C01,Unknown
201325940151_R08C01,Unknown
201325940152_R01C01,Unknown
201325940152_R04C01,Unknown
201325940152_R05C01,Unknown
201325940152_R06C01,Unknown
201325940152_R07C01,Unknown
201325940152_R08C01,Unknown
201325940068_R01C01,Unknown
201325940068_R02C01,Unknown
201325940068_R03C01,Unknown
201325940068_R04C01,Unknown
201325940068_R05C01,Unknown
201325940068_R06C01,Unknown
201325940068_R07C01,Unknown
201325940068_R08C01,Unknown
201325940022_R01C01,Unknown
201325940022_R02C01,Unknown
201325940022_R03C01,Unknown
202787550064_R03C01,Unknown
202787550064_R05C01,Unknown
201325940022_R04C01,Unknown
201325940022_R05C01,Unknown
201325940022_R06C01,Unknown
201325940022_R07C01,Unknown
201325940022_R08C01,Unknown
201492560210_R01C01,Unknown
203960200098_R05C01,Unknown
203960200098_R07C01,Unknown
203960200098_R08C01,Unknown
201325940106_R03C01,Unknown
201364910146_R06C01,Unknown
201364910146_R08C01,Unknown
201492560210_R02C01,Unknown
